,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,8529.408000,4264.704000,4264.704000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1853075.086000,1841642.016000,11433.070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,128028.656000,64014.328000,64014.328000,0.000000,961.430000,0.000000,0.000000,11160.790000,0.000000,1853075.086000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_4,1827.312000,913.656000,913.656000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1853075.086000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_4,8529.408000,4264.704000,4264.704000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1853075.086000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_4,81919.984000,40959.992000,40959.992000,0.000000,1896.645000,0.000000,0.000000,14903.813000,0.000000,1853075.086000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_4,913.656000,913.656000,913.656000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1853075.086000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,8529.408000,4264.704000,4264.704000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1853075.086000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,128028.656000,64014.328000,64014.328000,0.000000,961.430000,0.000000,0.000000,11160.790000,0.000000,1853075.086000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_4,1827.312000,913.656000,913.656000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1853075.086000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_4,8529.408000,4264.704000,4264.704000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1853075.086000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_4,81919.984000,40959.992000,40959.992000,0.000000,1896.647000,0.000000,0.000000,14903.817000,0.000000,1853075.086000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_4,913.656000,913.656000,913.656000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1853075.086000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,8529.408000,4264.704000,4264.704000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1853075.086000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,128028.656000,64014.328000,64014.328000,0.000000,961.428000,0.000000,0.000000,11160.790000,0.000000,1853075.086000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
