batch,seq_length,n_embed,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel
0.4160566218197346,0.28035328909754753,0.19173261523246765,h100,114,57,8,14592,456,80,50,2000,0,0.0033863952279090887,res_add
0.7155720731243491,0.9998534834012389,0.506519571878016,h100,114,57,8,14592,456,80,50,2000,0,0.02705826244354248,res_add
0.8470276622101665,0.10057072900235653,0.4570409106090665,h100,114,57,8,14592,456,80,50,2000,0,0.006770006394386291,res_add
0.021421127021312714,0.6310481252148747,0.772438395768404,h100,114,57,8,14592,456,80,50,2000,0,0.0016973616003990173,res_add
0.14414661098271608,0.1370855923742056,0.6973445592448115,h100,114,57,8,14592,456,80,50,2000,0,0.0008531488001346588,res_add
0.9738139044493437,0.6061299415305257,0.008713455870747566,h100,114,57,8,14592,456,80,50,2000,0,0.0033860831737518313,res_add
0.5886637587100267,0.48977958783507347,0.9631489422172308,h100,114,57,8,14592,456,80,50,2000,0,0.027062535858154296,res_add
0.29345321003347635,0.770773864351213,0.27415145095437765,h100,114,57,8,14592,456,80,50,2000,0,0.006767075204849242,res_add
0.36841217055916786,0.04032759461551905,0.9248124063014984,h100,114,57,8,14592,456,80,50,2000,0,0.0016975216031074527,res_add
0.515584378503263,0.6968034896999598,0.3613075176253915,h100,114,57,8,14592,456,80,50,2000,0,0.013534359884262086,res_add
0.9219381390139461,0.3287479681894183,0.659503941424191,h100,114,57,8,14592,456,80,50,2000,0,0.013529203128814695,res_add
0.19398830085992813,0.9222954362630844,0.09538887813687325,h100,114,57,8,14592,456,80,50,2000,0,0.003384796786308289,res_add
0.0632958160713315,0.43188249599188566,0.43482674937695265,h100,114,57,8,14592,456,80,50,2000,0,0.001697308796644211,res_add
0.8031189125031233,0.8388142287731171,0.8747392613440752,h100,114,57,8,14592,456,80,50,2000,0,,res_add
0.6342815328389406,0.1912519047036767,0.16902255080640316,h100,114,57,8,14592,456,80,50,2000,0,0.003383992004394531,res_add
0.49922672752290964,0.5342824999243021,0.6093010967597365,h100,114,57,8,14592,456,80,50,2000,0,0.013534161520004275,res_add
0.4507271237671375,0.22291605547070503,0.3159481957554817,h100,114,57,8,14592,456,80,50,2000,0,0.0033842656016349797,res_add
0.6828583916649222,0.5044303378090262,0.8764627510681748,h100,114,57,8,14592,456,80,50,2000,0,0.027067294311523438,res_add
0.7547414032742381,0.40398011915385723,0.08185164351016283,h100,114,57,8,14592,456,80,50,2000,0,0.006765465593338013,res_add
0.11175056546926498,0.8724424736574292,0.6417559050023556,h100,114,57,8,14592,456,80,50,2000,0,0.006765398406982423,res_add
0.23838420677930117,0.3663973789662123,0.825953776948154,h100,114,57,8,14592,456,80,50,2000,0,0.013532377481460573,res_add
0.8776194881647825,0.8984285341575742,0.38988609053194523,h100,114,57,8,14592,456,80,50,2000,0,,res_add
0.5598582345992327,0.01449659839272499,0.591376630589366,h100,114,57,8,14592,456,80,50,2000,0,0.0008528640002012252,res_add
0.3242155546322465,0.7325031151995063,0.1556750973686576,h100,114,57,8,14592,456,80,50,2000,0,0.0033865295767784116,res_add
0.28003257885575294,0.4551824117079377,0.55157620459795,h100,114,57,8,14592,456,80,50,2000,0,0.006766400051116943,res_add
0.6020071497187018,0.799645172432065,0.24039071146398783,h100,114,57,8,14592,456,80,50,2000,0,0.013530497455596924,res_add
0.960515427403152,0.16792194824665785,0.7856727065518498,h100,114,57,8,14592,456,80,50,2000,0,0.013528003168106078,res_add
0.15736783295869827,0.573481597006321,0.4750976227223873,h100,114,57,8,14592,456,80,50,2000,0,0.00338587201833725,res_add
0.038396005518734455,0.0639021722599864,0.057195122353732586,h100,114,57,8,14592,456,80,50,2000,0,3.2382400333881384e-05,res_add
0.8299755435436964,0.6578480526804924,0.7425909731537104,h100,114,57,8,14592,456,80,50,2000,0,,res_add
0.7324249614030123,0.30520438496023417,0.2917723339051008,h100,114,57,8,14592,456,80,50,2000,0,0.003384052789211274,res_add
0.3991264784708619,0.9612198788672686,0.976801916025579,h100,114,57,8,14592,456,80,50,2000,0,,res_add
0.37687993701547384,0.11132306512445211,0.6797139160335064,h100,114,57,8,14592,456,80,50,2000,0,0.003385537588596344,res_add
0.7415485940873623,0.6417992971837521,0.12011128384619951,h100,114,57,8,14592,456,80,50,2000,0,0.003384387183189392,res_add
0.821034774184227,0.2578974040225148,0.9143749857321382,h100,114,57,8,14592,456,80,50,2000,0,0.027057153511047365,res_add
0.06058127712458372,0.9773987587541342,0.3541620597243309,h100,114,57,8,14592,456,80,50,2000,0,0.0033870095849037178,res_add
0.18016535602509975,0.4712311150506139,0.1780083766207099,h100,114,57,8,14592,456,80,50,2000,0,0.0016974192023277285,res_add
0.9519389839842916,0.7522242274135351,0.6140110027045012,h100,114,57,8,14592,456,80,50,2000,0,,res_add
0.6105223158374429,0.15174301620572805,0.41217359341681004,h100,114,57,8,14592,456,80,50,2000,0,0.003383358418941498,res_add
0.25741792656481266,0.6207885257899761,0.8485423726961017,h100,114,57,8,14592,456,80,50,2000,0,0.013533710289001463,res_add
0.330716690979898,0.31995346583426,0.4524589292705059,h100,114,57,8,14592,456,80,50,2000,0,0.0033861040353775026,res_add
0.5352295450866222,0.9135001907125115,0.7633437486365438,h100,114,57,8,14592,456,80,50,2000,0,,res_add
0.9023089706897736,0.06082552671432495,0.21779779437929392,h100,114,57,8,14592,456,80,50,2000,0,0.0016981056094169619,res_add
0.23169973026961088,0.7173021687194705,0.5292930230498314,h100,114,57,8,14592,456,80,50,2000,0,0.006770095992088318,res_add
0.10470177792012691,0.2078443318605423,0.9385389676317573,h100,114,57,8,14592,456,80,50,2000,0,0.0033867376089096067,res_add
0.7788186492398381,0.5508741838857532,0.25381763093173504,h100,114,57,8,14592,456,80,50,2000,0,0.013530310344696045,res_add
0.6585977980867028,0.41918099857866764,0.7043738011270761,h100,114,57,8,14592,456,80,50,2000,0,0.013529635095596312,res_add
