,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama2_7b_ubatch_8,23099.024000,11549.512000,11549.512000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6616055.136000,6616054.368000,0.768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama2_7b_ubatch_8,436370.240000,218185.120000,218185.120000,0.000000,0.000000,0.000000,0.000000,10306.792000,0.000000,6616055.136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama2_7b_ubatch_8,5035.600000,2517.800000,2517.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6616055.136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama2_7b_ubatch_8,23099.024000,11549.512000,11549.512000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6616055.136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama2_7b_ubatch_8,335626.208000,167813.104000,167813.104000,0.000000,0.000000,0.000000,0.000000,13800.296000,0.000000,6616055.136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama2_7b_ubatch_8,2517.800000,2517.800000,2517.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6616055.136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama2_7b_ubatch_8,23099.024000,11549.512000,11549.512000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6616055.136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama2_7b_ubatch_8,436370.240000,218185.120000,218185.120000,0.000000,0.000000,0.000000,0.000000,10306.792000,0.000000,6616055.136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama2_7b_ubatch_8,5035.600000,2517.800000,2517.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6616055.136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama2_7b_ubatch_8,23099.024000,11549.512000,11549.512000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6616055.136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama2_7b_ubatch_8,335626.208000,167813.104000,167813.104000,0.000000,0.000000,0.000000,0.000000,13800.296000,0.000000,6616055.136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama2_7b_ubatch_8,2517.800000,2517.800000,2517.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6616055.136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama2_7b_ubatch_8,23099.024000,11549.512000,11549.512000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6616055.136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama2_7b_ubatch_8,436370.240000,218185.120000,218185.120000,0.000000,0.000000,0.000000,0.000000,10306.792000,0.000000,6616055.136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama2_7b_ubatch_8,5035.600000,2517.800000,2517.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6616055.136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama2_7b_ubatch_8,23099.024000,11549.512000,11549.512000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6616055.136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama2_7b_ubatch_8,335626.208000,167813.104000,167813.104000,0.000000,0.000000,0.000000,0.000000,13800.296000,0.000000,6616055.136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama2_7b_ubatch_8,2517.800000,2517.800000,2517.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6616055.136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama2_7b_ubatch_8,23099.024000,11549.512000,11549.512000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6616055.136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama2_7b_ubatch_8,436370.240000,218185.120000,218185.120000,0.000000,0.000000,0.000000,0.000000,10306.792000,0.000000,6616055.136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama2_7b_ubatch_8,5035.600000,2517.800000,2517.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6616055.136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama2_7b_ubatch_8,23099.024000,11549.512000,11549.512000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6616055.136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama2_7b_ubatch_8,335626.208000,167813.104000,167813.104000,0.000000,0.000000,0.000000,0.000000,13800.296000,0.000000,6616055.136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama2_7b_ubatch_8,2517.800000,2517.800000,2517.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6616055.136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
