,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_8,27864.352000,13932.176000,13932.176000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5766510.720000,5766509.952000,0.768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_8,419582.032000,209791.016000,209791.016000,0.000000,0.000000,0.000000,0.000000,8790.936000,0.000000,5766510.720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_8,6868.608000,3434.304000,3434.304000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5766510.720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_8,27864.352000,13932.176000,13932.176000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5766510.720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_8,233482.944000,116741.472000,116741.472000,0.000000,0.000000,0.000000,0.000000,11785.296000,0.000000,5766510.720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_8,3434.304000,3434.304000,3434.304000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5766510.720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_8,27864.352000,13932.176000,13932.176000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5766510.720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_8,419582.032000,209791.016000,209791.016000,0.000000,0.000000,0.000000,0.000000,8790.936000,0.000000,5766510.720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_8,6868.608000,3434.304000,3434.304000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5766510.720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_8,27864.352000,13932.176000,13932.176000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5766510.720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_8,233482.944000,116741.472000,116741.472000,0.000000,0.000000,0.000000,0.000000,11785.296000,0.000000,5766510.720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_8,3434.304000,3434.304000,3434.304000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5766510.720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_8,27864.352000,13932.176000,13932.176000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5766510.720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_8,419582.032000,209791.016000,209791.016000,0.000000,0.000000,0.000000,0.000000,8790.936000,0.000000,5766510.720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_8,6868.608000,3434.304000,3434.304000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5766510.720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_8,27864.352000,13932.176000,13932.176000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5766510.720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_8,233482.944000,116741.472000,116741.472000,0.000000,0.000000,0.000000,0.000000,11785.296000,0.000000,5766510.720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_8,3434.304000,3434.304000,3434.304000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5766510.720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_8,27864.352000,13932.176000,13932.176000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5766510.720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_8,419582.032000,209791.016000,209791.016000,0.000000,0.000000,0.000000,0.000000,8790.936000,0.000000,5766510.720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_8,6868.608000,3434.304000,3434.304000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5766510.720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_8,27864.352000,13932.176000,13932.176000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5766510.720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_8,233482.944000,116741.472000,116741.472000,0.000000,0.000000,0.000000,0.000000,11785.296000,0.000000,5766510.720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_8,3434.304000,3434.304000,3434.304000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5766510.720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
