name,gpu,NLPD,MLSS,MAE,RMSE,R2,lin_reg_R2,lin_reg_RMSE,out_of_confidence,mean_test_y,min_test_y,max_test_y
rms_norm,a100_mean_factorial_expanded,-1.816766889685304,-1.748690675245748,0.009304863537390195,0.00032231609643981133,0.9998953589627118,0.7288946860972214,0.036010720608438025,0.0,0.03614055167460176,0.0001041417980024,0.08682895417077631
res_add,a100_mean_factorial_expanded,-1.6749688536118088,-1.6111509656863194,0.01157630251490781,0.00013452812539647638,0.9998216604337166,0.7951590446686405,0.007290797444861499,0.0,0.010142054668809273,2.278500007635355e-05,0.030246452187133694
mlp,a100_mean_factorial_expanded,-0.030479560728009066,0.007294458103430498,0.09749425956997959,0.060008467577515254,0.9868198471194948,0.7818793324577069,0.6822347078430631,0.0,0.2945256449697557,0.0002258953989871998,3.6190031992421887
attn,a100_mean_factorial_expanded,-0.149162835591956,-0.1084754552955509,0.08094124322781743,0.07495671804016475,0.9904817293044201,0.8139003775565868,0.9002602036655496,0.0,0.4658237474883049,0.0005080586062201999,9.743033936546873
