,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_1,2922.288000,1461.144000,1461.144000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,422138.144000,422137.376000,0.768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_1,22712.112000,11356.056000,11356.056000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,422138.144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_1,755.440000,377.720000,377.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,422138.144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_1,2922.288000,1461.144000,1461.144000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,422138.144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_1,22888.464000,11444.232000,11444.232000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,422138.144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_1,377.720000,377.720000,377.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,422138.144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_1,2922.288000,1461.144000,1461.144000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,422138.144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_1,22712.112000,11356.056000,11356.056000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,422138.144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_1,755.440000,377.720000,377.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,422138.144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_1,2922.288000,1461.144000,1461.144000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,422138.144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_1,22888.464000,11444.232000,11444.232000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,422138.144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_1,377.720000,377.720000,377.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,422138.144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_1,2922.288000,1461.144000,1461.144000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,422138.144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_1,22712.112000,11356.056000,11356.056000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,422138.144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_1,755.440000,377.720000,377.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,422138.144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_1,2922.288000,1461.144000,1461.144000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,422138.144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_1,22888.464000,11444.232000,11444.232000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,422138.144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_1,377.720000,377.720000,377.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,422138.144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_1,2922.288000,1461.144000,1461.144000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,422138.144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_1,22712.112000,11356.056000,11356.056000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,422138.144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_1,755.440000,377.720000,377.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,422138.144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_1,2922.288000,1461.144000,1461.144000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,422138.144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_1,22888.464000,11444.232000,11444.232000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,422138.144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_1,377.720000,377.720000,377.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,422138.144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
