,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama2_7b_ubatch_4,6192.912000,3096.456000,3096.456000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1604232.322000,1602296.288000,1936.034000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama2_7b_ubatch_4,89835.152000,44917.576000,44917.576000,0.000000,0.000000,0.000000,0.000000,5855.288000,0.000000,1604232.322000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama2_7b_ubatch_4,1477.968000,738.984000,738.984000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1604232.322000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama2_7b_ubatch_4,6192.912000,3096.456000,3096.456000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1604232.322000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama2_7b_ubatch_4,95479.616000,47739.808000,47739.808000,0.000000,483.816000,0.000000,0.000000,7851.522000,0.000000,1604232.322000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama2_7b_ubatch_4,738.984000,738.984000,738.984000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1604232.322000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama2_7b_ubatch_4,6192.912000,3096.456000,3096.456000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1604232.322000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama2_7b_ubatch_4,89835.152000,44917.576000,44917.576000,0.000000,0.000000,0.000000,0.000000,5855.289000,0.000000,1604232.322000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama2_7b_ubatch_4,1477.968000,738.984000,738.984000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1604232.322000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama2_7b_ubatch_4,6192.912000,3096.456000,3096.456000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1604232.322000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama2_7b_ubatch_4,95479.616000,47739.808000,47739.808000,0.000000,483.817000,0.000000,0.000000,7851.523000,0.000000,1604232.322000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
