,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_8,18425.808000,9212.904000,9212.904000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3179270.784000,3179270.016000,0.768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_8,237652.640000,118826.320000,118826.320000,0.000000,0.000000,0.000000,0.000000,8790.936000,0.000000,3179270.784000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_8,2974.784000,1487.392000,1487.392000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3179270.784000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_8,18425.808000,9212.904000,9212.904000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3179270.784000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_8,117698.624000,58849.312000,58849.312000,0.000000,0.000000,0.000000,0.000000,11785.296000,0.000000,3179270.784000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_8,1487.392000,1487.392000,1487.392000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3179270.784000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_8,18425.808000,9212.904000,9212.904000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3179270.784000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_8,237652.640000,118826.320000,118826.320000,0.000000,0.000000,0.000000,0.000000,8790.936000,0.000000,3179270.784000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_8,2974.784000,1487.392000,1487.392000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3179270.784000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_8,18425.808000,9212.904000,9212.904000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3179270.784000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
