,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_1,6964.720000,3482.360000,3482.360000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1170968.895000,1155786.400000,15182.495000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_1,68188.176000,34094.088000,34094.088000,0.000000,1188.502000,0.000000,0.000000,11160.791000,0.000000,1170968.895000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_1,1600.240000,800.120000,800.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1170968.895000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_1,6964.720000,3482.360000,3482.360000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1170968.895000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_1,59555.264000,29777.632000,29777.632000,0.000000,2606.929000,0.000000,0.000000,14903.815000,0.000000,1170968.895000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_1,800.120000,800.120000,800.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1170968.895000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_1,6964.720000,3482.360000,3482.360000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1170968.895000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_1,68188.176000,34094.088000,34094.088000,0.000000,1188.503000,0.000000,0.000000,11160.791000,0.000000,1170968.895000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_1,1600.240000,800.120000,800.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1170968.895000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_1,6964.720000,3482.360000,3482.360000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1170968.895000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_1,59555.264000,29777.632000,29777.632000,0.000000,2606.929000,0.000000,0.000000,14903.816000,0.000000,1170968.895000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_1,800.120000,800.120000,800.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1170968.895000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_1,6964.720000,3482.360000,3482.360000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1170968.895000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_1,68188.176000,34094.088000,34094.088000,0.000000,1188.502000,0.000000,0.000000,11160.790000,0.000000,1170968.895000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_1,1600.240000,800.120000,800.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1170968.895000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
