batch,seq_length,n_embed,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel
32,4096,2048,a100,108,54,7,6912,432,40,40,1555,0,0.0009573376119136809,res_add
32,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.01512657918930054,res_add
128,2048,1024,a100,108,54,7,6912,432,40,40,1555,0,0.0009569792091846467,res_add
64,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.03023774719238282,res_add
32,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0037867007851600646,res_add
2,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0004853760018944741,res_add
64,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,0.01512775673866272,res_add
128,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.030234214496612545,res_add
64,2048,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0037867519855499265,res_add
64,8192,2048,a100,108,54,7,6912,432,40,40,1555,0,0.003786547183990478,res_add
128,2048,16384,a100,108,54,7,6912,432,40,40,1555,0,0.01512709112167358,res_add
64,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,0.015128780794143676,res_add
8,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0018998784363269809,res_add
16,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,0.015128268671035765,res_add
64,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.007563622403144838,res_add
128,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.03023677444458008,res_add
32,1024,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0009565696090459823,res_add
32,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.015126476669311523,res_add
128,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.015128729486465453,res_add
64,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.03023610868453979,res_add
32,4096,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0018990592300891882,res_add
16,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.003787110388278961,res_add
64,256,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0004858880013227462,res_add
128,16384,2048,a100,108,54,7,6912,432,40,40,1555,0,0.015129190349578856,res_add
64,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.030236876964569094,res_add
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.015128473567962647,res_add
128,1024,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0018994688332080842,res_add
64,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,,res_add
16,8192,1024,a100,108,54,7,6912,432,40,40,1555,0,0.0004858367949724197,res_add
32,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.015130675077438352,res_add
64,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.007565107250213624,res_add
128,8192,2048,a100,108,54,7,6912,432,40,40,1555,0,0.00756592643260956,res_add
32,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,0.007564083266258241,res_add
32,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,0.007565567994117737,res_add
128,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,,res_add
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.015128371095657348,res_add
16,2048,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0009567744106054307,res_add
8,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.0037863423824310303,res_add
64,2048,2048,a100,108,54,7,6912,432,40,40,1555,0,0.0009570816159248354,res_add
128,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,,res_add
64,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.007565721607208252,res_add
64,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,,res_add
128,4096,4096,a100,108,54,7,6912,432,40,40,1555,0,0.007565107226371765,res_add
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.015128371095657345,res_add
4,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0004856320008635521,res_add
16,8192,2048,a100,108,54,7,6912,432,40,40,1555,0,0.0009570816159248355,res_add
64,2048,16384,a100,108,54,7,6912,432,40,40,1555,0,0.007565363216400146,res_add
128,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,0.030238464069366457,res_add
32,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.007564953589439394,res_add
32,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0037850111722946165,res_add
128,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.015129395103454587,res_add
64,16384,2048,a100,108,54,7,6912,432,40,40,1555,0,0.007566387224197388,res_add
32,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,0.00756449284553528,res_add
8,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0037853183746337886,res_add
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.015128319835662842,res_add
128,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,,res_add
64,512,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0004860928028821945,res_add
64,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.030239692592620847,res_add
128,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.015128473567962644,res_add
64,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.030238310527801508,res_add
