batch,seq_length,n_embed,n_head,tensor_parallelism,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel
4,16384,2048,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.006647756791114808,mlp
128,4096,8192,16,2,a100,108,54,7,6912,432,40,40,1555,0,1.5033104370117187,mlp
64,8192,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.7194225646972655,mlp
32,1024,16384,32,8,a100,108,54,7,6912,432,40,40,1555,0,0.10528046073913574,mlp
64,8192,8192,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.3648087554931641,mlp
64,2048,4096,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.04734049224853515,mlp
128,16384,16384,32,1,a100,108,54,7,6912,432,40,40,1555,0,,mlp
32,8192,8192,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.18185543746948243,mlp
32,8192,16384,64,2,a100,108,54,7,6912,432,40,40,1555,0,3.588018798828125,mlp
128,512,4096,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.02362741756439209,mlp
128,16384,8192,128,8,a100,108,54,7,6912,432,40,40,1555,0,,mlp
64,4096,4096,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.09484738464355467,mlp
32,16384,8192,16,4,a100,108,54,7,6912,432,40,40,1555,0,0.7168325134277344,mlp
64,8192,16384,128,8,a100,108,54,7,6912,432,40,40,1555,0,,mlp
128,16384,2048,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.21667916793823244,mlp
16,4096,8192,64,1,a100,108,54,7,6912,432,40,40,1555,0,0.3518655487060547,mlp
16,8192,4096,16,8,a100,108,54,7,6912,432,40,40,1555,0,0.0232184832572937,mlp
128,4096,16384,128,4,a100,108,54,7,6912,432,40,40,1555,0,,mlp
64,16384,4096,64,2,a100,108,54,7,6912,432,40,40,1555,0,0.7181526550292968,mlp
32,8192,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.34481412963867186,mlp
64,16384,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,,mlp
64,4096,8192,32,1,a100,108,54,7,6912,432,40,40,1555,0,1.7073487426757814,mlp
128,8192,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,,mlp
16,1024,2048,8,8,a100,108,54,7,6912,432,40,40,1555,0,0.0010041856169700622,mlp
32,16384,8192,64,2,a100,108,54,7,6912,432,40,40,1555,0,1.5034708984375,mlp
128,8192,1024,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.015563161516189574,mlp
64,8192,16384,16,4,a100,108,54,7,6912,432,40,40,1555,0,,mlp
64,2048,8192,128,2,a100,108,54,7,6912,432,40,40,1555,0,0.34273085479736326,mlp
32,8192,4096,128,2,a100,108,54,7,6912,432,40,40,1555,0,0.18190443725585936,mlp
64,2048,8192,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.17273389968872072,mlp
128,16384,4096,64,8,a100,108,54,7,6912,432,40,40,1555,0,,mlp
4,4096,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.08287303657531739,mlp
8,8192,8192,8,8,a100,108,54,7,6912,432,40,40,1555,0,0.044233164787292466,mlp
128,2048,4096,128,1,a100,108,54,7,6912,432,40,40,1555,0,0.3666432052612305,mlp
64,16384,16384,32,4,a100,108,54,7,6912,432,40,40,1555,0,,mlp
32,4096,4096,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.023182438468933107,mlp
64,16384,2048,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.05208954906463623,mlp
64,8192,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.7238992370605468,mlp
128,8192,8192,128,2,a100,108,54,7,6912,432,40,40,1555,0,,mlp
32,2048,16384,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.3328112640380859,mlp
16,16384,8192,64,2,a100,108,54,7,6912,432,40,40,1555,0,0.749002752685547,mlp
128,4096,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,,mlp
64,8192,2048,32,8,a100,108,54,7,6912,432,40,40,1555,0,0.02615034885406494,mlp
64,512,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.04290421772003174,mlp
32,8192,16384,128,4,a100,108,54,7,6912,432,40,40,1555,0,1.771185205078125,mlp
64,4096,8192,16,8,a100,108,54,7,6912,432,40,40,1555,0,0.18115261611938477,mlp
128,16384,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,,mlp
8,8192,4096,64,2,a100,108,54,7,6912,432,40,40,1555,0,0.04562483234405518,mlp
16,16384,16384,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.6807426513671876,mlp
128,8192,8192,32,4,a100,108,54,7,6912,432,40,40,1555,0,,mlp
64,8192,8192,64,1,a100,108,54,7,6912,432,40,40,1555,0,,mlp
32,4096,1024,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.0036663808107376093,mlp
64,8192,4096,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.19011317596435545,mlp
64,1024,16384,64,2,a100,108,54,7,6912,432,40,40,1555,0,0.6737504791259766,mlp
128,16384,2048,16,4,a100,108,54,7,6912,432,40,40,1555,0,0.21738900527954103,mlp
16,4096,8192,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.044520806312561036,mlp
32,8192,4096,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.09506795463562011,mlp
128,4096,16384,64,8,a100,108,54,7,6912,432,40,40,1555,0,,mlp
64,16384,4096,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.37408747711181645,mlp
64,8192,16384,16,2,a100,108,54,7,6912,432,40,40,1555,0,,mlp
32,16384,8192,32,2,a100,108,54,7,6912,432,40,40,1555,0,1.507815985107422,mlp
64,4096,2048,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.026719231891632077,mlp
128,8192,16384,64,8,a100,108,54,7,6912,432,40,40,1555,0,,mlp
2,2048,8192,64,2,a100,108,54,7,6912,432,40,40,1555,0,0.010510591983795167,mlp
2,8192,16384,64,1,a100,108,54,7,6912,432,40,40,1555,0,0.33750712280273437,mlp
128,2048,8192,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.1807801872253418,mlp
64,16384,8192,16,8,a100,108,54,7,6912,432,40,40,1555,0,,mlp
32,8192,2048,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.02715765743255615,mlp
64,16384,4096,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.3734397430419922,mlp
