batch,max_seq_length,n_embed,n_head,tensor_parallelism,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel
0.18857621401548386,0.02377268113195896,0.6769218789413571,0.2561824657022953,0.5772234220057726,a100,108,54,7,6912,432,40,40,1555,0,0.01385021438598633,attn
0.6447259159758687,0.877985917031765,0.3824332309886813,0.5300776194781065,0.4625130509957671,a100,108,54,7,6912,432,40,40,1555,0,,attn
0.7981183035299182,0.27463714964687824,0.9653792642056942,0.057129332795739174,0.07145416084676981,a100,108,54,7,6912,432,40,40,1555,0,,attn
0.34807188622653484,0.6273311823606491,0.23265052028000355,0.7832947373390198,0.9684063605964184,a100,108,54,7,6912,432,40,40,1555,0,0.18178344955444334,attn
0.47175981011241674,0.40560015477240086,0.34383999090641737,0.9297806471586227,0.8206047369167209,a100,108,54,7,6912,432,40,40,1555,0,0.5431689727783202,attn
0.9279636237770319,0.5039549693465233,0.5806885780766606,0.15674000419676304,0.21753774397075176,a100,108,54,7,6912,432,40,40,1555,0,,attn
0.5188406072556973,0.15451054461300373,0.009464094415307045,0.6296873968094587,0.326616108417511,a100,108,54,7,6912,432,40,40,1555,0,0.022037555217742918,attn
0.0687405401840806,0.7552543133497238,0.8076453991234303,0.40266748145222664,0.7118944125249982,a100,108,54,7,6912,432,40,40,1555,0,1.0255603637695314,attn
0.03607438784092665,0.32736940030008554,0.10062697436660528,0.22302462346851826,0.43585404846817255,a100,108,54,7,6912,432,40,40,1555,0,0.00422215678691864,attn
0.6111820843070745,0.7073995573446155,0.8337299833074212,0.9970418438315392,0.5399100072681904,a100,108,54,7,6912,432,40,40,1555,0,,attn
0.9577001929283142,0.07649341318756342,0.264334237203002,0.4616250954568386,0.9300858024507761,a100,108,54,7,6912,432,40,40,1555,0,0.02203965425491333,attn
0.3764887498691678,0.958058032207191,0.5586936995387077,0.6876684334129095,0.04580218996852636,a100,108,54,7,6912,432,40,40,1555,0,,attn
0.2568347491323948,0.19553978089243174,0.9240353787317872,0.5880595501512289,0.18072398751974106,a100,108,54,7,6912,432,40,40,1555,0,1.115101593017578,attn
0.8318735370412469,0.8314321739599109,0.12549503799527884,0.3151409737765789,0.7963909031823277,a100,108,54,7,6912,432,40,40,1555,0,0.7470497772216798,attn
0.740845731459558,0.446617872454226,0.7144211381673813,0.8505588546395302,0.6867345897480845,a100,108,54,7,6912,432,40,40,1555,0,1.0952495971679688,attn
0.15970365889370441,0.58013657014817,0.477686507627368,0.12341687269508839,0.29074846766889095,a100,108,54,7,6912,432,40,40,1555,0,0.2683877899169922,attn
0.13759669288992882,0.47333071753382683,0.8609295608475804,0.6746915010735393,0.9961262485012412,a100,108,54,7,6912,432,40,40,1555,0,0.3353704956054687,attn
0.7127046221867204,0.6249148678034544,0.0655520735308528,0.41648215893656015,0.10402741469442844,a100,108,54,7,6912,432,40,40,1555,0,0.692048080444336,attn
0.8718026718124747,0.22447741404175758,0.5236240513622761,0.8888816060498357,0.49432532861828804,a100,108,54,7,6912,432,40,40,1555,0,0.7661028350830079,attn
0.2905914578586817,0.8735505398362875,0.291532376781106,0.14715150650590658,0.6061964938417077,a100,108,54,7,6912,432,40,40,1555,0,0.6032326141357423,attn
0.4208115739747882,0.09736142680048943,0.1608088267967105,0.012384614907205105,0.7454517986625433,a100,108,54,7,6912,432,40,40,1555,0,0.02594647035598755,attn
0.9958501290529966,0.9930871557444334,0.8965930985286832,0.7697394760325551,0.3572734920307994,a100,108,54,7,6912,432,40,40,1555,0,,attn
0.5924941524863243,0.3465540446341038,0.45024278946220875,0.2973409229889512,0.2474950673058629,a100,108,54,7,6912,432,40,40,1555,0,0.7374447601318359,attn
0.01135185081511736,0.7436769064515829,0.7497401796281338,0.5399255035445094,0.8553541526198387,a100,108,54,7,6912,432,40,40,1555,0,0.04093163566589355,attn
0.1025870656594634,0.1756553640589118,0.40987502690404654,0.8289431231096387,0.012983959168195724,a100,108,54,7,6912,432,40,40,1555,0,0.377478092956543,attn
0.5587369967252016,0.7895798655226827,0.6416085744276643,0.07061171438544989,0.9021187955513597,a100,108,54,7,6912,432,40,40,1555,0,1.993548046875,attn
0.899732206016779,0.42451228853315115,0.19733102433383465,0.6054796231910586,0.5111819123849273,a100,108,54,7,6912,432,40,40,1555,0,0.9244733947753906,attn
0.44968602154403925,0.5409325556829572,0.9928234368562698,0.36387159023433924,0.40428888984024525,a100,108,54,7,6912,432,40,40,1555,0,,attn
0.3232556879520416,0.3016225090250373,0.6157639333978295,0.48301193211227655,0.25984420347958803,a100,108,54,7,6912,432,40,40,1555,0,0.33196241912841795,attn
0.7794592725113034,0.6714092465117574,0.31663995888084173,0.7402447266504169,0.6529319882392883,a100,108,54,7,6912,432,40,40,1555,0,1.4704314331054689,attn
0.6829699454829097,0.052433512173593044,0.780447743833065,0.20537568535655737,0.7618883680552244,a100,108,54,7,6912,432,40,40,1555,0,0.1314641929626465,attn
0.23286964558064938,0.9208078579977155,0.0445332583039999,0.9480823324993253,0.15101187955588102,a100,108,54,7,6912,432,40,40,1555,0,2.456327600097656,attn
0.24458060506731272,0.2527528675273061,0.2738748276606202,0.5540860202163458,0.6951458370313048,a100,108,54,7,6912,432,40,40,1555,0,0.07491768302917481,attn
0.6712429337203503,0.6499358108267188,0.5417679166421294,0.2968532405793667,0.3294482547789812,a100,108,54,7,6912,432,40,40,1555,0,1.0105072570800782,attn
