batch,max_seq_length,n_embed,n_head,tensor_parallelism,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel
64,2048,8192,32,8,a100,108,54,7,6912,432,40,40,1555,0,0.07084288024902344,attn
128,16384,8192,128,2,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,8192,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
16,8192,4096,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.11673072624206544,attn
4,2048,16384,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.026907187080383303,attn
64,16384,4096,32,4,a100,108,54,7,6912,432,40,40,1555,0,1.2092785583496093,attn
128,4096,8192,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.3430238204956054,attn
64,8192,8192,64,2,a100,108,54,7,6912,432,40,40,1555,0,1.8827422607421873,attn
32,8192,1024,64,1,a100,108,54,7,6912,432,40,40,1555,0,0.6251456512451172,attn
128,8192,16384,64,8,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,4096,8192,16,4,a100,108,54,7,6912,432,40,40,1555,0,0.3634889221191407,attn
16,16384,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.8734496795654296,attn
16,4096,4096,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.01892126722335815,attn
64,16384,16384,64,2,a100,108,54,7,6912,432,40,40,1555,0,,attn
128,8192,8192,32,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
32,8192,8192,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.2801185272216796,attn
64,8192,16384,128,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
128,8192,2048,16,4,a100,108,54,7,6912,432,40,40,1555,0,0.32946247558593755,attn
64,2048,8192,64,2,a100,108,54,7,6912,432,40,40,1555,0,0.2724757553100586,attn
8,16384,4096,32,8,a100,108,54,7,6912,432,40,40,1555,0,0.07800883178710938,attn
8,8192,8192,16,2,a100,108,54,7,6912,432,40,40,1555,0,0.273474203491211,attn
64,8192,4096,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.370947428894043,attn
128,2048,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.9234769439697267,attn
64,16384,2048,64,2,a100,108,54,7,6912,432,40,40,1555,0,2.5880692626953126,attn
32,1024,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.03062292499542236,attn
128,16384,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,4096,4096,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.11121807327270508,attn
32,8192,16384,32,1,a100,108,54,7,6912,432,40,40,1555,0,,attn
32,8192,4096,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.3665143814086914,attn
64,8192,16384,16,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
128,2048,8192,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.14459402236938476,attn
64,16384,8192,32,2,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,512,16384,64,2,a100,108,54,7,6912,432,40,40,1555,0,0.1960962562561035,attn
128,16384,2048,64,8,a100,108,54,7,6912,432,40,40,1555,0,1.2907645141601563,attn
64,4096,8192,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.3527311874389648,attn
16,8192,4096,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.18600094680786133,attn
8,4096,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.04181509075164795,attn
64,16384,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
128,8192,16384,128,2,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,8192,1024,32,8,a100,108,54,7,6912,432,40,40,1555,0,0.08516582374572754,attn
32,4096,8192,16,8,a100,108,54,7,6912,432,40,40,1555,0,0.09058370552062989,attn
128,8192,8192,128,1,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,2048,4096,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.04862464008331299,attn
32,16384,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
16,2048,4096,32,2,a100,108,54,7,6912,432,40,40,1555,0,0.024441805076599123,attn
64,16384,8192,128,8,a100,108,54,7,6912,432,40,40,1555,0,1.7745051635742186,attn
128,4096,2048,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.09941565475463868,attn
32,8192,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,1.3604455017089845,attn
