batch,seq_length,n_embed,n_head,tensor_parallelism,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel
0.024382736533880234,0.7621109103783965,0.050434138625860214,0.9762293333187699,0.5917017133906484,a100,108,54,7,6912,432,40,40,1555,0,0.006647756791114808,mlp
0.8093105740845203,0.3104343758895993,0.5509742451831698,0.0338042201474309,0.12847441993653774,a100,108,54,7,6912,432,40,40,1555,0,1.5033104370117187,mlp
0.5907106641680002,0.6159394020214677,0.4705121014267206,0.7449330324307084,0.3241450097411871,a100,108,54,7,6912,432,40,40,1555,0,0.7194225646972655,mlp
0.3678565192967653,0.06956718396395445,0.9749545278027654,0.3124790610745549,0.8960167588666081,a100,108,54,7,6912,432,40,40,1555,0,0.10528046073913574,mlp
0.4067330164834857,0.6580308629199862,0.6703235134482384,0.42010000348091125,0.7934847436845303,a100,108,54,7,6912,432,40,40,1555,0,0.3648087554931641,mlp
0.6290998188778758,0.1409553373232484,0.1660113325342536,0.6045972295105457,0.487237966619432,a100,108,54,7,6912,432,40,40,1555,0,0.04734049224853515,mlp
0.973060947842896,0.9639159934595227,0.8711000215262175,0.17508557438850403,0.05717810150235891,a100,108,54,7,6912,432,40,40,1555,0,,mlp
0.1876457678154111,0.4790363973006606,0.3706901455298066,0.8657096810638905,0.723530363291502,a100,108,54,7,6912,432,40,40,1555,0,0.18185543746948243,mlp
0.1834253240376711,0.542487008497119,0.7619016719982028,0.5296777803450823,0.24759817216545343,a100,108,54,7,6912,432,40,40,1555,0,3.588018798828125,mlp
0.9058836940675974,0.02541342005133629,0.2614456079900265,0.4641986098140478,0.5350480321794748,a100,108,54,7,6912,432,40,40,1555,0,0.02362741756439209,mlp
0.7497837729752064,0.8294664919376373,0.7170681776478887,0.7529479581862688,0.9799872431904078,a100,108,54,7,6912,432,40,40,1555,0,,mlp
0.4643991254270077,0.3445888329297304,0.2127095554023981,0.1935498919337988,0.30264292750507593,a100,108,54,7,6912,432,40,40,1555,0,0.09484738464355467,mlp
0.25327513087540865,0.8810641188174486,0.39247029926627874,0.08583738934248686,0.38761207461357117,a100,108,54,7,6912,432,40,40,1555,0,0.7168325134277344,mlp
0.538172465749085,0.42938952147960663,0.8969275578856468,0.8933753212913871,0.8305814219638705,a100,108,54,7,6912,432,40,40,1555,0,,mlp
0.8196335760876536,0.7469928376376629,0.06596122030168772,0.3227646602317691,0.6512509686872363,a100,108,54,7,6912,432,40,40,1555,0,0.21667916793823244,mlp
0.09668789338320494,0.20062255673110485,0.5665159355849028,0.6403500279411674,0.06692613661289215,a100,108,54,7,6912,432,40,40,1555,0,0.3518655487060547,mlp
