batch,seq_length,n_embed,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel
128,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
32,1024,4096,a100,108,54,7,6912,432,40,40,1555,0,0.002645248055458069,rms_norm
16,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.04331443195343018,rms_norm
128,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.08432757682800293,rms_norm
64,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
32,4096,2048,a100,108,54,7,6912,432,40,40,1555,0,0.005318963193893433,rms_norm
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.08677821464538575,rms_norm
64,2048,8192,a100,108,54,7,6912,432,40,40,1555,0,0.021229926490783695,rms_norm
128,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
16,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,0.021021337604522704,rms_norm
16,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.04338795528411866,rms_norm
128,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,8192,2048,a100,108,54,7,6912,432,40,40,1555,0,0.020980480098724365,rms_norm
64,2048,16384,a100,108,54,7,6912,432,40,40,1555,0,0.042364621353149404,rms_norm
32,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.043343104171752925,rms_norm
64,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.043305471801757825,rms_norm
128,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
16,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.01047577590942383,rms_norm
32,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.08485058517456054,rms_norm
128,512,4096,a100,108,54,7,6912,432,40,40,1555,0,0.005274112010002136,rms_norm
64,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
32,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.021210828685760498,rms_norm
64,16384,1024,a100,108,54,7,6912,432,40,40,1555,0,0.021051904201507574,rms_norm
64,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
128,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0842954750061035,rms_norm
4,2048,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0013558271944522859,rms_norm
1,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,0.005278566408157348,rms_norm
128,8192,2048,a100,108,54,7,6912,432,40,40,1555,0,0.042138726234436034,rms_norm
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.08674175949096681,rms_norm
64,2048,4096,a100,108,54,7,6912,432,40,40,1555,0,0.010504806375503542,rms_norm
32,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.02099543037414551,rms_norm
64,1024,16384,a100,108,54,7,6912,432,40,40,1555,0,0.021068953418731686,rms_norm
128,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
32,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,0.042346649742126465,rms_norm
32,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.04331893768310546,rms_norm
128,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.08673715171813966,rms_norm
64,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,0.08427970504760743,rms_norm
32,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.08478044204711914,rms_norm
64,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,4096,4096,a100,108,54,7,6912,432,40,40,1555,0,0.020967321681976316,rms_norm
128,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
8,2048,2048,a100,108,54,7,6912,432,40,40,1555,0,0.0007067648112773896,rms_norm
16,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.021225830364227295,rms_norm
128,1024,8192,a100,108,54,7,6912,432,40,40,1555,0,0.021195059013366695,rms_norm
64,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,4096,2048,a100,108,54,7,6912,432,40,40,1555,0,0.010490623998641969,rms_norm
32,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,0.04213478412628174,rms_norm
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0867182071685791,rms_norm
128,8192,1024,a100,108,54,7,6912,432,40,40,1555,0,0.02101877775192261,rms_norm
16,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,0.02102594566345215,rms_norm
32,16384,2048,a100,108,54,7,6912,432,40,40,1555,0,0.021025843238830565,rms_norm
128,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.08671267890930175,rms_norm
32,512,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0026824703216552738,rms_norm
64,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,4096,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0209902081489563,rms_norm
128,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
8,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.010562969541549682,rms_norm
8,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.021025843048095703,rms_norm
128,2048,4096,a100,108,54,7,6912,432,40,40,1555,0,0.021026816082000733,rms_norm
64,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.043346636772155764,rms_norm
64,16384,2048,a100,108,54,7,6912,432,40,40,1555,0,0.042118451499938966,rms_norm
64,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
128,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
32,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.021169663619995116,rms_norm
16,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,0.021043199920654294,rms_norm
128,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.08669603843688964,rms_norm
64,8192,1024,a100,108,54,7,6912,432,40,40,1555,0,0.010529535913467407,rms_norm
32,1024,16384,a100,108,54,7,6912,432,40,40,1555,0,0.010532608032226562,rms_norm
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.08671554527282715,rms_norm
64,2048,8192,a100,108,54,7,6912,432,40,40,1555,0,0.021223424053192143,rms_norm
128,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
16,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.010478950452804567,rms_norm
8,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.02119500789642334,rms_norm
128,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0842136074066162,rms_norm
64,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,2048,2048,a100,108,54,7,6912,432,40,40,1555,0,0.005293926358222961,rms_norm
32,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0433236982345581,rms_norm
64,256,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0026821631193161013,rms_norm
128,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
32,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,0.04235448303222657,rms_norm
32,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.020988364791870114,rms_norm
128,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
32,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.043326822471618655,rms_norm
64,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,8192,2048,a100,108,54,7,6912,432,40,40,1555,0,0.020971673583984374,rms_norm
128,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
2,2048,4096,a100,108,54,7,6912,432,40,40,1555,0,0.000377907195687294,rms_norm
4,16384,1024,a100,108,54,7,6912,432,40,40,1555,0,0.0013423615813255311,rms_norm
128,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.04205511646270752,rms_norm
64,2048,8192,a100,108,54,7,6912,432,40,40,1555,0,0.02117657604217529,rms_norm
32,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.08481280059814453,rms_norm
64,4096,2048,a100,108,54,7,6912,432,40,40,1555,0,0.010504550409317016,rms_norm
128,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
32,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.043275314903259275,rms_norm
16,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.021200947093963626,rms_norm
128,1024,8192,a100,108,54,7,6912,432,40,40,1555,0,0.02120673274993897,rms_norm
64,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
32,4096,4096,a100,108,54,7,6912,432,40,40,1555,0,0.010479155254364015,rms_norm
64,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.08668748779296874,rms_norm
128,8192,2048,a100,108,54,7,6912,432,40,40,1555,0,0.042138931465148924,rms_norm
