,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,4263.936000,2131.968000,2131.968000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,963000.396000,926247.424000,36752.972000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,65553.152000,32776.576000,32776.576000,0.000000,3191.200000,0.000000,0.000000,11160.788000,0.000000,963000.396000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_4,911.104000,455.552000,455.552000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,963000.396000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_4,4263.936000,2131.968000,2131.968000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,963000.396000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_4,40105.472000,20052.736000,20052.736000,0.000000,5996.851000,0.000000,0.000000,14903.819000,0.000000,963000.396000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_4,455.552000,455.552000,455.552000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,963000.396000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,4263.936000,2131.968000,2131.968000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,963000.396000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,65553.152000,32776.576000,32776.576000,0.000000,3191.201000,0.000000,0.000000,11160.789000,0.000000,963000.396000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_4,911.104000,455.552000,455.552000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,963000.396000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_4,4263.936000,2131.968000,2131.968000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,963000.396000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_4,40105.472000,20052.736000,20052.736000,0.000000,5996.849000,0.000000,0.000000,14903.817000,0.000000,963000.396000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_4,455.552000,455.552000,455.552000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,963000.396000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,4263.936000,2131.968000,2131.968000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,963000.396000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,65553.152000,32776.576000,32776.576000,0.000000,3191.203000,0.000000,0.000000,11160.791000,0.000000,963000.396000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_4,911.104000,455.552000,455.552000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,963000.396000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_4,4263.936000,2131.968000,2131.968000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,963000.396000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_4,40105.472000,20052.736000,20052.736000,0.000000,5996.848000,0.000000,0.000000,14903.813000,0.000000,963000.396000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_4,455.552000,455.552000,455.552000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,963000.396000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,4263.936000,2131.968000,2131.968000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,963000.396000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,65553.152000,32776.576000,32776.576000,0.000000,3191.204000,0.000000,0.000000,11160.795000,0.000000,963000.396000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_4,911.104000,455.552000,455.552000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,963000.396000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_4,4263.936000,2131.968000,2131.968000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,963000.396000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_4,40105.472000,20052.736000,20052.736000,0.000000,5996.848000,0.000000,0.000000,14903.812000,0.000000,963000.396000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
