type,gpus,ubatch,coef,total_time_ms,total_time_ms_ci,ref_time,ratio_time_ms,abs_diff_ratio
profiling,32,1,2.1,1.631644136,1.3983877485065788e-4,1.612074041366577,1.0121396996237426,0.012139699623742617
profiling,32,2,1.4,2.075365539,0.00221038160813239,2.0765108942985533,0.9994484231690293,5.515768309707347e-4
profiling,4,1,1.3,1.0193666524,9.564133084743472e-5,1.002911341190338,1.0164075432531567,0.016407543253156742
profiling,4,2,1.2,1.7786180084,0.00311821857538227,1.735420048236847,1.0248919333431934,0.024891933343193395
profiling,4,4,1.0,3.1244116054,0.0018238702121737,3.274771535396576,0.9540853679802225,0.045914632019777524
profiling,4,8,1.0,6.1772336704,0.00725441016372556,6.282730352878571,0.9832084656585277,0.016791534341472292
profiling,64,1,2.1,1.6358990784,2.6148317277604387e-4,1.7365200519561768,0.942055967944149,0.05794403205585097
profiling,64,2,1.5,2.221803837,0.00194852955440271,2.206841731071472,1.006779872665025,0.006779872665025
profiling,8,1,1.3,1.030494719,1.1510769469535416e-4,1.0357391119003296,0.9949365696051514,0.005063430394848578
profiling,8,2,1.2,1.7761518562,0.00191615438168506,1.7516148686408997,1.0140082092236058,0.014008209223605794
profiling,8,4,1.1,3.4383979634,0.00209326508869151,3.339084041118622,1.0297428639286679,0.029742863928667873
profiling,8,8,1.0,6.214179488,0.00734284227205236,6.1670799374580385,1.0076372531278353,0.007637253127835253
roofline,1,1,no,0.568881984,0,0.8688737869262695,0.6547348907975215,0.34526510920247855
roofline,1,2,no,1.114553856,0,1.5539122819900513,0.7172566102461218,0.28274338975387825
roofline,1,4,no,2.205895488,0,2.9288176536560058,0.7531692815516898,0.24683071844831017
roofline,1,8,no,4.388580224,0,5.643936741352081,0.77757431117994,0.22242568882005997
roofline,128,1,no,0.7361473519999999,0,1.8245562672615052,0.40346651139725653,0.5965334886027435
roofline,128,2,no,1.279047512,0,2.2866021037101745,0.5593660173427876,0.44063398265721243
roofline,16,1,no,0.668571328,0,1.3577665448188785,0.49240521542618004,0.50759478457382
roofline,16,2,no,1.211471488,0,1.8259960412979128,0.6634578939935102,0.3365421060064898
roofline,2,1,no,0.61816796,0,1.0518826127052308,0.5876777052243465,0.4123222947756535
roofline,2,2,no,1.16106812,0,1.8002147793769836,0.6449608865014547,0.35503911349854533
roofline,2,4,no,2.2468665839999997,0,3.369495177268982,0.6668258791873724,0.33317412081262765
roofline,2,8,no,4.423555696,0,6.435111939907074,0.6874092847658961,0.31259071523410387
roofline,32,1,no,0.6775193199999999,0,1.612074041366577,0.4202780409674345,0.5797219590325655
roofline,32,2,no,1.22041948,0,2.0765108942985533,0.5877260183661394,0.41227398163386064
roofline,4,1,no,0.6448299279999999,0,1.002911341190338,0.6429580577228915,0.3570419422771085
roofline,4,2,no,1.187730088,0,1.735420048236847,0.6844049595985194,0.31559504040148056
roofline,4,4,no,2.273528552,0,3.274771535396576,0.6942556228505495,0.30574437714945046
roofline,4,8,no,4.447187408,0,6.282730352878571,0.7078431125032165,0.2921568874967835
roofline,64,1,no,0.6956635280000001,0,1.7365200519561768,0.40060782898322445,0.5993921710167756
roofline,64,2,no,1.2385636880000002,0,2.206841731071472,0.5612381126210846,0.4387618873789154
roofline,8,1,no,0.6592304880000001,0,1.0357391119003296,0.6364831456354605,0.3635168543645395
roofline,8,2,no,1.202130648,0,1.7516148686408997,0.6862984949041615,0.3137015050958385
roofline,8,4,no,2.287929112,0,3.339084041118622,0.6851966239320901,0.31480337606790987
roofline,8,8,no,4.459880448,0,6.1670799374580385,0.7231753914703243,0.2768246085296757
real,128,1,NA,1.8245562672615052,0.00194140409294856,1.8245562672615052,1,0
real,128,2,NA,2.2866021037101745,0.00461108240291274,2.2866021037101745,1,0
real,16,1,NA,1.3577665448188785,0.00180632949782082,1.3577665448188785,1,0
real,16,2,NA,1.8259960412979128,0.00552203197543372,1.8259960412979128,1,0
real,1,1,NA,0.8688737869262695,0.01442218610970382,0.8688737869262695,1,0
real,1,2,NA,1.5539122819900513,0.0102561604503801,1.5539122819900513,1,0
real,1,4,NA,2.9288176536560058,0.00910545975061447,2.9288176536560058,1,0
real,1,8,NA,5.643936741352081,0.00642011158721562,5.643936741352081,1,0
real,2,1,NA,1.0518826127052308,0.03585026134185123,1.0518826127052308,1,0
real,2,2,NA,1.8002147793769836,0.03178929448516519,1.8002147793769836,1,0
real,2,4,NA,3.369495177268982,0.02432955488452965,3.369495177268982,1,0
real,2,8,NA,6.435111939907074,0.01260431570807674,6.435111939907074,1,0
real,32,1,NA,1.612074041366577,0.00274143115332571,1.612074041366577,1,0
real,32,2,NA,2.0765108942985533,0.0035731527892368,2.0765108942985533,1,0
real,4,1,NA,1.002911341190338,0.03517727437768447,1.002911341190338,1,0
real,4,2,NA,1.735420048236847,0.03006744366087065,1.735420048236847,1,0
real,4,4,NA,3.274771535396576,0.03006942961982296,3.274771535396576,1,0
real,4,8,NA,6.282730352878571,0.0266683275562786,6.282730352878571,1,0
real,64,1,NA,1.7365200519561768,0.00340860842615287,1.7365200519561768,1,0
real,64,2,NA,2.206841731071472,0.00802600525740198,2.206841731071472,1,0
real,8,1,NA,1.0357391119003296,0.0738828048351121,1.0357391119003296,1,0
real,8,2,NA,1.7516148686408997,0.04005218461841624,1.7516148686408997,1,0
real,8,4,NA,3.339084041118622,0.074149164816015,3.339084041118622,1,0
real,8,8,NA,6.1670799374580385,0.04506120188099549,6.1670799374580385,1,0
