Iterations,Fwd,Back
0,508.1954002380371,1044.6715354919434
1,288.90323638916016,713.6325836181641
2,144.70481872558594,568.0036544799805
3,144.4683074951172,567.678689956665
4,144.32621002197266,567.3656463623047
5,144.58799362182617,567.6743984222412
6,144.47665214538574,567.6212310791016
7,144.33598518371582,567.3656463623047
8,144.58537101745605,568.9041614532471
9,144.65093612670898,568.9873695373535
10,144.46187019348145,568.6492919921875
11,144.53363418579102,568.6392784118652
12,144.65022087097168,569.0326690673828
13,144.47283744812012,568.6976909637451
14,144.38462257385254,568.673849105835
15,144.56892013549805,568.7334537506104
16,144.5155143737793,568.7212944030762
17,144.40584182739258,568.5920715332031
18,144.51122283935547,568.7625408172607
19,144.53387260437012,568.6273574829102
20,144.39105987548828,568.4936046600342
21,144.54269409179688,568.6662197113037
