Iterations,Fwd,Back
0,461.4603519439697,856.1851978302002
1,79.61177825927734,486.45615577697754
2,75.35910606384277,355.79395294189453
3,74.9974250793457,355.1332950592041
4,75.15501976013184,355.30757904052734
5,74.92661476135254,354.9642562866211
6,75.13189315795898,355.3774356842041
7,75.03390312194824,355.12471199035645
8,75.07658004760742,355.3307056427002
9,75.15263557434082,355.3581237792969
10,75.08444786071777,355.2396297454834
11,75.20246505737305,355.55219650268555
12,74.74231719970703,354.7661304473877
13,75.1047134399414,355.39865493774414
14,74.85795021057129,354.9673557281494
15,75.06775856018066,355.3652763366699
16,75.00886917114258,355.0097942352295
17,75.0741958618164,355.257511138916
18,75.15192031860352,355.3617000579834
19,75.05607604980469,355.28016090393066
20,75.15430450439453,355.21912574768066
21,74.85818862915039,354.99095916748047
