Iterations,Fwd,Back
0,2327.1141052246094,3236.786127090454
1,220.54338455200195,1014.6026611328125
2,219.65670585632324,1013.012170791626
3,286.00311279296875,1077.697992324829
4,291.7134761810303,1085.3781700134277
5,219.82455253601074,1013.3304595947266
6,219.6052074432373,1013.1435394287109
7,219.2862033843994,1013.4758949279785
8,219.61021423339844,1012.9060745239258
9,219.37155723571777,1012.7828121185303
10,219.498872756958,1013.3175849914551
11,219.31838989257812,1013.124942779541
12,219.29264068603516,1012.7205848693848
13,219.6357250213623,1012.805700302124
14,219.71607208251953,1013.4131908416748
15,219.58422660827637,1013.2780075073242
16,219.7878360748291,1013.0527019500732
17,219.6023464202881,1013.2267475128174
18,268.1088447570801,1061.8596076965332
19,302.7045726776123,1085.5867862701416
20,219.3624973297119,1011.8331909179688
21,219.27213668823242,1011.927604675293
