Iterations,Fwd,Back
0,2203.9220333099365,3863.746404647827
1,431.37145042419434,1865.5869960784912
2,426.9294738769531,1860.6011867523193
3,424.43132400512695,1856.8096160888672
4,426.7687797546387,1860.3637218475342
5,425.9037971496582,1857.7301502227783
6,425.2314567565918,1858.0138683319092
7,423.9656925201416,1856.764316558838
8,426.00297927856445,1857.7332496643066
9,570.7376003265381,2002.9263496398926
10,425.41050910949707,1857.7346801757812
11,424.78442192077637,1856.7776679992676
12,425.2033233642578,1858.1674098968506
13,426.0585308074951,1859.6837520599365
14,424.2277145385742,1856.5049171447754
15,425.66800117492676,1861.0188961029053
16,424.64137077331543,1858.5219383239746
17,424.6683120727539,1857.4886322021484
18,424.5333671569824,1857.7666282653809
19,424.52549934387207,1857.3412895202637
20,425.14967918395996,1858.1335544586182
21,501.5084743499756,1932.0158958435059
