Iterations,Fwd,Back
0,2291.071891784668,2966.884136199951
1,195.84941864013672,792.4811840057373
2,190.86003303527832,789.6699905395508
3,190.82212448120117,786.6973876953125
4,190.78969955444336,783.1008434295654
5,191.1780834197998,787.1096134185791
6,191.47515296936035,786.8051528930664
7,192.62027740478516,787.5170707702637
8,191.18738174438477,787.9369258880615
9,322.2072124481201,918.9507961273193
10,191.09153747558594,784.3103408813477
11,191.23291969299316,781.9910049438477
12,191.36404991149902,781.7435264587402
13,190.99926948547363,783.0240726470947
14,191.40172004699707,783.1249237060547
15,191.11251831054688,783.0605506896973
16,191.93148612976074,788.5277271270752
17,191.3919448852539,784.9998474121094
18,192.34371185302734,788.2294654846191
19,190.78636169433594,785.9675884246826
20,191.71690940856934,787.6102924346924
21,319.1654682159424,912.1718406677246
