Iterations,Fwd,Back
0,583.9705467224121,2676.798105239868
1,729.6943664550781,2143.202543258667
2,336.7795944213867,1737.3497486114502
3,336.6222381591797,1738.2237911224365
4,336.60149574279785,1740.9651279449463
5,336.69018745422363,1747.9617595672607
6,336.7271423339844,1742.887258529663
7,336.728572845459,1739.8195266723633
8,336.64894104003906,1730.086088180542
9,336.70663833618164,1741.044282913208
10,336.68994903564453,1756.6978931427002
11,336.67874336242676,1749.65238571167
12,336.57073974609375,1730.2923202514648
13,336.71021461486816,1740.0867938995361
14,336.70759201049805,1740.4060363769531
15,336.5509510040283,1748.5861778259277
16,336.8268013000488,1731.0054302215576
17,336.64822578430176,1751.9166469573975
18,336.55476570129395,1739.9966716766357
19,336.5964889526367,1728.5895347595215
20,336.5938663482666,1730.7062149047852
21,336.6422653198242,1730.6687831878662
