Iterations,Fwd,Back
0,562.8857612609863,982.7618598937988
1,79.12755012512207,484.53760147094727
2,74.94878768920898,354.4583320617676
3,74.86224174499512,353.985071182251
4,74.57232475280762,353.6396026611328
5,74.85151290893555,353.94835472106934
6,74.40543174743652,353.44815254211426
7,74.8450756072998,353.9302349090576
8,74.53083992004395,353.49583625793457
9,74.77688789367676,353.68895530700684
10,74.65243339538574,353.50823402404785
11,74.62286949157715,353.6555767059326
12,74.7678279876709,353.9853096008301
13,74.80287551879883,353.9085388183594
14,74.79643821716309,353.89208793640137
15,74.8283863067627,353.9459705352783
16,74.68008995056152,353.86109352111816
17,74.80454444885254,353.954553604126
18,74.81718063354492,354.0008068084717
19,74.73921775817871,353.88827323913574
20,74.77736473083496,354.0067672729492
21,74.80812072753906,353.96885871887207
