Iterations,Fwd,Back
0,4671.4928150177,5345.037937164307
1,194.4873332977295,786.2472534179688
2,192.86417961120605,784.2309474945068
3,194.11015510559082,782.5338840484619
4,194.05007362365723,782.1919918060303
5,233.18862915039062,823.3411312103271
6,192.95930862426758,782.9761505126953
7,194.35739517211914,783.313512802124
8,236.3145351409912,825.1919746398926
9,548.0940341949463,1138.925313949585
10,192.51203536987305,785.2585315704346
11,194.19407844543457,783.3859920501709
12,193.89629364013672,783.2803726196289
13,192.83485412597656,783.4868431091309
14,192.32845306396484,783.9381694793701
15,194.52786445617676,785.0182056427002
16,195.2672004699707,785.1293087005615
17,194.52452659606934,785.1972579956055
18,192.08383560180664,784.1804027557373
19,192.90661811828613,784.0240001678467
20,193.77493858337402,784.3563556671143
21,339.80417251586914,930.2287101745605
