Iterations,Fwd,Back
0,523.9689350128174,1616.7716979980469
1,289.2496585845947,988.7986183166504
2,145.56884765625,851.6924381256104
3,145.19834518432617,860.1245880126953
4,145.56241035461426,851.9630432128906
5,145.34997940063477,843.8761234283447
6,145.31803131103516,843.238353729248
7,145.2791690826416,844.1174030303955
8,145.0212001800537,835.9591960906982
9,145.1582908630371,844.4900512695312
10,145.19810676574707,851.0894775390625
11,144.99425888061523,834.7578048706055
12,145.0517177581787,844.0980911254883
13,145.45035362243652,844.2881107330322
14,145.19548416137695,850.9092330932617
15,144.9291706085205,851.7796993255615
16,145.11537551879883,860.7676029205322
17,144.88649368286133,846.5354442596436
18,145.3239917755127,844.2738056182861
19,145.54977416992188,831.920862197876
20,145.4329490661621,860.7852458953857
21,145.21455764770508,853.3432483673096
