Iterations,Fwd,Back
0,2091.6175842285156,5167.028903961182
1,764.812707901001,3403.071403503418
2,764.4484043121338,3404.1590690612793
3,764.1353607177734,3405.8918952941895
4,764.521598815918,3403.7795066833496
5,765.7046318054199,3407.687187194824
6,763.6110782623291,3405.578136444092
7,764.695405960083,3408.0193042755127
8,766.5081024169922,3408.090591430664
9,837.8782272338867,3489.260673522949
10,765.2702331542969,3407.4299335479736
11,765.0728225708008,3412.4293327331543
12,764.8499011993408,3409.749984741211
13,763.9153003692627,3406.7885875701904
14,765.5117511749268,3411.1318588256836
15,765.9964561462402,3410.659074783325
16,766.0703659057617,3414.7660732269287
17,765.615701675415,3408.843994140625
18,766.2005424499512,3411.583662033081
19,766.6373252868652,3409.546136856079
20,765.4650211334229,3413.8710498809814
21,765.2301788330078,3411.5023612976074
