Iterations,Fwd,Back
0,583.5456848144531,2409.1527462005615
1,730.0889492034912,1886.591911315918
2,336.6808891296387,1487.255334854126
3,336.75098419189453,1504.1136741638184
4,336.6522789001465,1499.4561672210693
5,336.71069145202637,1486.9577884674072
6,336.747407913208,1488.830804824829
7,336.64512634277344,1468.8913822174072
8,336.67874336242676,1505.0837993621826
9,336.70878410339355,1467.5109386444092
10,336.6672992706299,1499.9947547912598
11,336.6200923919678,1490.4108047485352
12,336.73858642578125,1482.348918914795
13,336.61699295043945,1485.563039779663
14,336.57312393188477,1498.2163906097412
15,336.63105964660645,1478.7664413452148
16,336.6878032684326,1503.9656162261963
17,336.5468978881836,1490.7429218292236
18,336.62915229797363,1477.4587154388428
19,336.7142677307129,1512.9666328430176
20,336.63201332092285,1481.5912246704102
21,336.5814685821533,1476.5818119049072
