Iterations,Fwd,Back
0,372.0080852508545,2042.090654373169
1,123.5039234161377,1426.5272617340088
2,122.97582626342773,1426.236629486084
3,122.92170524597168,1426.0895252227783
4,122.86543846130371,1425.9531497955322
5,122.95699119567871,1426.1479377746582
6,122.81990051269531,1425.9090423583984
7,123.30031394958496,1426.5801906585693
8,122.88212776184082,1425.9538650512695
9,122.9851245880127,1425.8060455322266
10,122.92313575744629,1425.600528717041
11,225.45695304870605,1427.3576736450195
12,122.91216850280762,1425.4987239837646
13,122.86829948425293,1425.4794120788574
14,122.86567687988281,1425.5084991455078
15,122.92838096618652,1425.3828525543213
16,123.17252159118652,1425.7543087005615
17,122.85447120666504,1425.551176071167
18,122.90596961975098,1425.5938529968262
19,123.05355072021484,1425.7469177246094
20,122.76530265808105,1425.3737926483154
21,122.90120124816895,1425.4064559936523
