Iterations,Fwd,Back
0,4367.767333984375,16054.354667663574
1,2893.1500911712646,12797.06883430481
2,2881.7687034606934,12769.841194152832
3,2879.9312114715576,12766.039371490479
4,2882.2813034057617,12779.98661994934
5,2885.6353759765625,12788.59257698059
6,2882.3139667510986,12789.907693862915
7,2884.751319885254,12787.187576293945
8,2885.542154312134,12790.936470031738
9,2891.603469848633,12813.199281692505
10,2887.6190185546875,12801.568984985352
11,2889.5490169525146,12795.80307006836
12,2890.751600265503,12808.650970458984
13,2892.8287029266357,12812.545776367188
14,2895.2014446258545,12824.755668640137
15,2893.2454586029053,12823.884963989258
16,2893.939971923828,12828.067302703857
17,2897.944211959839,12825.836181640625
18,2891.6995525360107,12826.040744781494
19,2900.843620300293,12839.402198791504
20,2896.974563598633,12831.982135772705
21,2900.7532596588135,12838.740348815918
