Iterations,Fwd,Back
0,4818.242073059082,8018.600702285767
1,1379.2784214019775,4331.8071365356445
2,1378.709077835083,4330.82914352417
3,1378.2727718353271,4336.559295654297
4,1389.9683952331543,4335.291385650635
5,1378.7834644317627,4333.92858505249
6,1379.0807723999023,4337.185621261597
7,1378.5223960876465,4336.4903926849365
8,1378.9806365966797,4333.805322647095
9,1378.662109375,4319.724559783936
10,1378.2806396484375,4332.87239074707
11,1378.3833980560303,4341.642379760742
12,1379.136562347412,4330.284118652344
13,1379.1637420654297,4333.0535888671875
14,1378.6449432373047,4336.458206176758
15,1378.4503936767578,4333.59432220459
16,1379.1475296020508,4333.487033843994
17,1378.9479732513428,4332.949638366699
18,1387.5622749328613,4343.567132949829
19,1379.3375492095947,4345.3521728515625
20,1378.6122798919678,4342.964649200439
21,1378.5936832427979,4328.030347824097
