Iterations,Fwd,Back
0,1157.4859619140625,1838.1283283233643
1,189.4662380218506,832.587480545044
2,186.88488006591797,831.9880962371826
3,186.62214279174805,834.0134620666504
4,186.43832206726074,831.8061828613281
5,188.95435333251953,832.2780132293701
6,187.26062774658203,830.8498859405518
7,187.48807907104492,830.6314945220947
8,186.11407279968262,829.8628330230713
9,302.42180824279785,946.3653564453125
10,293.24913024902344,936.8991851806641
11,186.28597259521484,830.7445049285889
12,186.42950057983398,830.0960063934326
13,186.4490509033203,832.2632312774658
14,186.50317192077637,832.611083984375
15,186.2175464630127,832.554817199707
16,186.0651969909668,832.3395252227783
17,186.15293502807617,831.5062522888184
18,189.02230262756348,832.7820301055908
19,186.56373023986816,832.4286937713623
20,186.0976219177246,831.7060470581055
21,298.85220527648926,943.8529014587402
