Iterations,Fwd,Back
0,584.6307277679443,2814.009666442871
1,731.2746047973633,2269.392251968384
2,337.0814323425293,1854.6464443206787
3,336.90667152404785,1871.6232776641846
4,336.8535041809082,1892.7421569824219
5,336.81344985961914,1857.3145866394043
6,336.8709087371826,1880.753993988037
7,336.95411682128906,1822.8015899658203
8,336.83156967163086,1875.3845691680908
9,336.9436264038086,1894.6964740753174
10,336.98081970214844,1881.5860748291016
11,336.89260482788086,1886.279582977295
12,336.90738677978516,1870.983600616455
13,336.87496185302734,1872.1954822540283
14,337.03064918518066,1876.4615058898926
15,336.83180809020996,1896.3778018951416
16,337.0015621185303,1861.377239227295
17,336.8237018585205,1869.3795204162598
18,336.81321144104004,1854.3784618377686
19,336.9600772857666,1870.0432777404785
20,336.92026138305664,1839.059829711914
21,336.81607246398926,1870.640754699707
