Iterations,Fwd,Back
0,2192.5745010375977,2702.805995941162
1,124.22895431518555,580.8167457580566
2,123.70681762695312,578.5353183746338
3,182.7068328857422,636.223554611206
4,202.77786254882812,657.3317050933838
5,123.54016304016113,579.0295600891113
6,123.22115898132324,577.822208404541
7,123.67844581604004,577.9116153717041
8,123.23546409606934,577.8865814208984
9,124.0227222442627,579.1096687316895
10,123.2614517211914,578.1793594360352
11,124.13763999938965,578.8788795471191
12,123.72136116027832,578.2060623168945
13,123.70538711547852,578.4022808074951
14,123.27861785888672,578.2952308654785
15,123.77214431762695,578.9976119995117
16,123.77667427062988,579.2880058288574
17,124.47261810302734,579.1881084442139
18,174.02958869934082,629.1542053222656
19,187.7460479736328,636.6500854492188
20,124.22823905944824,578.95827293396
21,124.38488006591797,579.0407657623291
