Iterations,Fwd,Back
0,2397.2394466400146,3588.5705947875977
1,325.122594833374,1389.1918659210205
2,325.0255584716797,1388.8609409332275
3,324.51748847961426,1388.7176513671875
4,324.4481086730957,1388.8888359069824
5,324.18203353881836,1387.8071308135986
6,325.1185417175293,1389.0483379364014
7,324.92709159851074,1388.8165950775146
8,324.3691921234131,1388.3299827575684
9,438.2028579711914,1501.8784999847412
10,324.6302604675293,1388.5931968688965
11,325.11019706726074,1388.77534866333
12,324.8724937438965,1388.2412910461426
13,324.42712783813477,1388.551950454712
14,324.230432510376,1388.1354331970215
15,324.30529594421387,1388.2553577423096
16,325.101375579834,1388.319730758667
17,324.4600296020508,1388.4477615356445
18,324.9011039733887,1388.8208866119385
19,324.8307704925537,1388.9195919036865
20,325.1469135284424,1388.3888721466064
21,432.9814910888672,1496.8152046203613
