,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,7762.976000,3881.488000,3881.488000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1255588.032000,1244602.272000,10985.760000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,69150.576000,34575.288000,34575.288000,0.000000,861.464000,0.000000,0.000000,11780.240000,0.000000,1255588.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_4,2082.096000,1041.048000,1041.048000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1255588.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_4,7762.976000,3881.488000,3881.488000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1255588.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_4,67255.088000,33627.544000,33627.544000,0.000000,1884.784000,0.000000,0.000000,15648.032000,0.000000,1255588.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_4,1041.048000,1041.048000,1041.048000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1255588.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,7762.976000,3881.488000,3881.488000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1255588.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,69150.576000,34575.288000,34575.288000,0.000000,861.464000,0.000000,0.000000,11780.253000,0.000000,1255588.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_4,2082.096000,1041.048000,1041.048000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1255588.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_4,7762.976000,3881.488000,3881.488000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1255588.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_4,67255.088000,33627.544000,33627.544000,0.000000,1884.784000,0.000000,0.000000,15648.040000,0.000000,1255588.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_4,1041.048000,1041.048000,1041.048000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1255588.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,7762.976000,3881.488000,3881.488000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1255588.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,69150.576000,34575.288000,34575.288000,0.000000,861.459000,0.000000,0.000000,11780.245000,0.000000,1255588.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_4,2082.096000,1041.048000,1041.048000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1255588.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_4,7762.976000,3881.488000,3881.488000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1255588.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_4,67255.088000,33627.544000,33627.544000,0.000000,1884.789000,0.000000,0.000000,15648.037000,0.000000,1255588.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_4,1041.048000,1041.048000,1041.048000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1255588.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,7762.976000,3881.488000,3881.488000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1255588.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,69150.576000,34575.288000,34575.288000,0.000000,861.464000,0.000000,0.000000,11780.256000,0.000000,1255588.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_4,2082.096000,1041.048000,1041.048000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1255588.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_4,7762.976000,3881.488000,3881.488000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1255588.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_4,67255.088000,33627.544000,33627.544000,0.000000,1884.784000,0.000000,0.000000,15648.040000,0.000000,1255588.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_4,1041.048000,1041.048000,1041.048000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1255588.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
