,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_8,16495.616000,8247.808000,8247.808000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3958567.200000,3958566.432000,0.768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_8,269068.784000,134534.392000,134534.392000,0.000000,0.000000,0.000000,0.000000,8790.936000,0.000000,3958567.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_8,3530.736000,1765.368000,1765.368000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3958567.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_8,16495.616000,8247.808000,8247.808000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3958567.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_8,186582.000000,93291.000000,93291.000000,0.000000,0.000000,0.000000,0.000000,11785.296000,0.000000,3958567.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_8,1765.368000,1765.368000,1765.368000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3958567.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_8,16495.616000,8247.808000,8247.808000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3958567.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_8,269068.784000,134534.392000,134534.392000,0.000000,0.000000,0.000000,0.000000,8790.936000,0.000000,3958567.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_8,3530.736000,1765.368000,1765.368000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3958567.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_8,16495.616000,8247.808000,8247.808000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3958567.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_8,186582.000000,93291.000000,93291.000000,0.000000,0.000000,0.000000,0.000000,11785.296000,0.000000,3958567.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
