,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_2,6834.400000,3417.200000,3417.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1427654.559000,1411307.584000,16346.975000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_2,96038.368000,48019.184000,48019.184000,0.000000,1268.902000,0.000000,0.000000,11160.791000,0.000000,1427654.559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_2,1519.840000,759.920000,759.920000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1427654.559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_2,6834.400000,3417.200000,3417.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1427654.559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_2,64046.560000,32023.280000,32023.280000,0.000000,2817.649000,0.000000,0.000000,14903.815000,0.000000,1427654.559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_2,759.920000,759.920000,759.920000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1427654.559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_2,6834.400000,3417.200000,3417.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1427654.559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_2,96038.368000,48019.184000,48019.184000,0.000000,1268.903000,0.000000,0.000000,11160.791000,0.000000,1427654.559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_2,1519.840000,759.920000,759.920000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1427654.559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_2,6834.400000,3417.200000,3417.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1427654.559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_2,64046.560000,32023.280000,32023.280000,0.000000,2817.649000,0.000000,0.000000,14903.816000,0.000000,1427654.559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_2,759.920000,759.920000,759.920000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1427654.559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_2,6834.400000,3417.200000,3417.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1427654.559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_2,96038.368000,48019.184000,48019.184000,0.000000,1268.902000,0.000000,0.000000,11160.790000,0.000000,1427654.559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_2,1519.840000,759.920000,759.920000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1427654.559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_2,6834.400000,3417.200000,3417.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1427654.559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_2,64046.560000,32023.280000,32023.280000,0.000000,2817.650000,0.000000,0.000000,14903.816000,0.000000,1427654.559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_2,759.920000,759.920000,759.920000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1427654.559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_2,6834.400000,3417.200000,3417.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1427654.559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_2,96038.368000,48019.184000,48019.184000,0.000000,1268.902000,0.000000,0.000000,11160.790000,0.000000,1427654.559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_2,1519.840000,759.920000,759.920000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1427654.559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_2,6834.400000,3417.200000,3417.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1427654.559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_2,64046.560000,32023.280000,32023.280000,0.000000,2817.650000,0.000000,0.000000,14903.816000,0.000000,1427654.559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_2,759.920000,759.920000,759.920000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1427654.559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
