batch,max_seq_length,n_embed,n_head,tensor_parallelism,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel,seq_length
32,8192,16384,32,1,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
32,8192,4096,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.3665143814086914,attn,NA
64,8192,16384,16,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
128,2048,8192,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.14459402236938476,attn,NA
64,16384,8192,32,2,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,512,16384,64,2,a100,108,54,7,6912,432,40,40,1555,0,0.1960962562561035,attn,NA
128,16384,2048,64,8,a100,108,54,7,6912,432,40,40,1555,0,1.2907645141601565,attn,NA
64,4096,8192,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.3527311874389648,attn,NA
16,8192,4096,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.18600094680786133,attn,NA
8,4096,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.04181509075164795,attn,NA
64,16384,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
128,8192,16384,128,2,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,8192,1024,32,8,a100,108,54,7,6912,432,40,40,1555,0,0.08516582374572754,attn,NA
32,4096,8192,16,8,a100,108,54,7,6912,432,40,40,1555,0,0.09058370552062989,attn,NA
128,8192,8192,128,1,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,2048,4096,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.04862464008331299,attn,NA
32,16384,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
16,2048,4096,32,2,a100,108,54,7,6912,432,40,40,1555,0,0.02444180507659912,attn,NA
64,16384,8192,128,8,a100,108,54,7,6912,432,40,40,1555,0,1.7745051635742186,attn,NA
128,4096,2048,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.09941565475463868,attn,NA
32,8192,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,1.3604455017089845,attn,NA
64,8192,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.907029040527344,attn,NA
128,8192,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,4096,16384,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.5222300201416015,attn,NA
4,16384,4096,16,2,a100,108,54,7,6912,432,40,40,1555,0,0.1885899787902832,attn,NA
16,4096,16384,32,8,a100,108,54,7,6912,432,40,40,1555,0,0.1587567108154297,attn,NA
64,8192,4096,64,2,a100,108,54,7,6912,432,40,40,1555,0,0.929484390258789,attn,NA
128,1024,16384,8,2,a100,108,54,7,6912,432,40,40,1555,0,0.8802311157226563,attn,NA
64,16384,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
32,2048,2048,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.02398863363265991,attn,NA
128,16384,16384,16,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,8192,4096,64,1,a100,108,54,7,6912,432,40,40,1555,0,1.856968395996094,attn,NA
32,8192,8192,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.23500554428100587,attn,NA
