,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,11714.560000,5857.280000,5857.280000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3365526.515000,3354148.256000,11378.259000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,201922.944000,100961.472000,100961.472000,0.000000,927.301000,0.000000,0.000000,13591.524000,0.000000,3365526.515000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_4,2469.040000,1234.520000,1234.520000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3365526.515000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_4,11714.560000,5857.280000,5857.280000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3365526.515000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_4,189595.648000,94797.824000,94797.824000,0.000000,1917.072000,0.000000,0.000000,17550.606000,0.000000,3365526.515000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_4,1234.520000,1234.520000,1234.520000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3365526.515000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,11714.560000,5857.280000,5857.280000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3365526.515000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,201922.944000,100961.472000,100961.472000,0.000000,927.301000,0.000000,0.000000,13591.524000,0.000000,3365526.515000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_4,2469.040000,1234.520000,1234.520000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3365526.515000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_4,11714.560000,5857.280000,5857.280000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3365526.515000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
