type,gpus,ubatch,coef,total_time_ms,total_time_ms_ci
profiling,2,2,1.5,1.4104527572,3.7903624381049455e-4
profiling,2,2,1.6,1.5041097796,4.002727733626438e-4
profiling,2,4,0.5,0.9307581736,8.10332941274445e-4
profiling,2,4,0.7,1.2920931128,0.0013131526859721928
profiling,2,4,1,1.8269595636,0.0013013816472018291
profiling,2,8,0.5,1.9901110596,0.002860173822463761
profiling,2,8,0.7,2.7944714848,0.003583533178082952
profiling,2,8,1,4.0309226832,0.01046177087790832
profiling,32,1,0.5,0.32910668660000003,1.4563755735596133e-4
profiling,32,1,0.7,0.4166897698,1.4032742319078172e-4
profiling,32,1,0.8,0.4598098674,2.2001369956509617e-4
profiling,32,1,1,0.5481475522,2.5234866779462635e-4
profiling,32,1,1.1,0.5927918642,5.341737499736461e-4
profiling,32,1,1.3,0.6979073930999999,0.0068748149795030055
profiling,32,1,1.4,0.7264568144,7.11393005630723e-4
profiling,32,1,1.5,0.7686887024,3.0108799884387465e-4
profiling,32,1,1.6,0.8460143312,0.012164156196585826
profiling,32,2,0.5,0.540581229,1.755818798406172e-4
profiling,32,2,0.7,0.7128233952,1.780326432391252e-4
profiling,32,2,0.8,0.8006998784,6.468998213965186e-4
profiling,32,2,1,0.979429306,5.199936414784424e-4
profiling,32,2,1.1,1.0684485444,4.078205787279705e-4
profiling,32,2,1.3,1.2458362835,4.1926923949163827e-4
profiling,32,2,1.4,1.3356284832,2.9003645258839523e-4
profiling,32,2,1.5,1.4326199296,7.038334420440346e-4
profiling,32,2,1.6,1.5245271664,6.743646666902653e-4
profiling,32,4,0.5,0.9732792468,0.001624477264330359
profiling,32,4,0.7,1.3170219344,9.504665601205391e-4
profiling,32,4,1,1.8661189134,0.0019276325370095407
profiling,32,8,0.5,2.0063644638,0.004021537274189145
profiling,32,8,0.7,2.7987472254,0.003625827616358886
profiling,32,8,1,3.994082878,0.007387336467892962
profiling,4,1,0.5,0.3020897184,1.1117466161407108e-4
profiling,4,1,0.7,0.3898686992,1.40188005357459e-4
profiling,4,1,0.8,0.4326590352,1.320486777098245e-4
profiling,4,1,1,0.5221681274,1.9708003546018145e-4
profiling,4,1,1.1,0.5663134458,4.2592769385477576e-4
profiling,4,1,1.3,0.655742451,5.00229807117141e-4
profiling,4,1,1.4,0.7013415596,2.8829279020096586e-4
profiling,4,1,1.5,0.7476957308,3.748101029036236e-4
profiling,4,1,1.6,0.7947552412,3.31938774475058e-4
profiling,4,2,0.5,0.5124260778,1.4732569474102091e-4
profiling,4,2,0.7,0.6872039548,2.2511700797571204e-4
profiling,4,2,0.8,0.7766533004,2.471815374634036e-4
profiling,4,2,1,0.9579003184,2.2296166729038122e-4
profiling,4,2,1.1,1.047579024,3.5446986435987393e-4
profiling,4,2,1.3,1.2313843462,3.6957378006672117e-4
profiling,4,2,1.4,1.3281485476000001,6.834952107354753e-4
profiling,4,2,1.5,1.4193357588,4.1616455896723595e-4
profiling,4,2,1.6,1.5244108596000001,0.004629996111953242
profiling,4,4,0.5,0.9511780012,9.950994698912634e-4
profiling,4,4,0.7,1.3096309332,0.0013880287427610319
profiling,4,4,1,1.85905981,0.0020647344109407835
profiling,4,8,0.5,2.0139434276,0.003327945663549928
profiling,4,8,0.7,2.7983716158,0.002888943565568531
profiling,4,8,1,3.9710670224,0.004908396273931441
profiling,8,1,0.5,0.3161753704,2.520298287796153e-4
