,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_1,5847.872000,2923.936000,2923.936000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1292557.706000,1275706.880000,16850.826000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_1,74442.208000,37221.104000,37221.104000,0.000000,656.671000,0.000000,0.000000,11780.244000,0.000000,1292557.706000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_1,2326.144000,1163.072000,1163.072000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1292557.706000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_1,5847.872000,2923.936000,2923.936000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1292557.706000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_1,69254.656000,34627.328000,34627.328000,0.000000,3555.843000,0.000000,0.000000,15648.039000,0.000000,1292557.706000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_1,1163.072000,1163.072000,1163.072000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1292557.706000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_1,5847.872000,2923.936000,2923.936000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1292557.706000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_1,74442.208000,37221.104000,37221.104000,0.000000,656.672000,0.000000,0.000000,11780.245000,0.000000,1292557.706000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_1,2326.144000,1163.072000,1163.072000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1292557.706000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_1,5847.872000,2923.936000,2923.936000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1292557.706000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
