,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,12767.488000,6383.744000,6383.744000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2923341.080000,2921628.864000,1712.216000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,206989.088000,103494.544000,103494.544000,0.000000,0.000000,0.000000,0.000000,11160.775000,0.000000,2923341.080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_4,3296.096000,1648.048000,1648.048000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2923341.080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_4,12767.488000,6383.744000,6383.744000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2923341.080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_4,126911.376000,63455.688000,63455.688000,0.000000,427.864000,0.000000,0.000000,14903.808000,0.000000,2923341.080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_4,1648.048000,1648.048000,1648.048000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2923341.080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,12767.488000,6383.744000,6383.744000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2923341.080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,206989.088000,103494.544000,103494.544000,0.000000,0.000000,0.000000,0.000000,11160.790000,0.000000,2923341.080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_4,3296.096000,1648.048000,1648.048000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2923341.080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_4,12767.488000,6383.744000,6383.744000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2923341.080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_4,126911.376000,63455.688000,63455.688000,0.000000,427.864000,0.000000,0.000000,14903.816000,0.000000,2923341.080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_4,1648.048000,1648.048000,1648.048000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2923341.080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,12767.488000,6383.744000,6383.744000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2923341.080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,206989.088000,103494.544000,103494.544000,0.000000,0.000000,0.000000,0.000000,11160.792000,0.000000,2923341.080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_4,3296.096000,1648.048000,1648.048000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2923341.080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_4,12767.488000,6383.744000,6383.744000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2923341.080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_4,126911.376000,63455.688000,63455.688000,0.000000,427.864000,0.000000,0.000000,14903.816000,0.000000,2923341.080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
