,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,9366.224000,4683.112000,4683.112000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1807500.163000,1801391.744000,6108.419000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,118467.552000,59233.776000,59233.776000,0.000000,280.262000,0.000000,0.000000,11780.244000,0.000000,1807500.163000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_4,2663.296000,1331.648000,1331.648000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1807500.163000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_4,9366.224000,4683.112000,4683.112000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1807500.163000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_4,83313.200000,41656.600000,41656.600000,0.000000,1246.651000,0.000000,0.000000,15648.037000,0.000000,1807500.163000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_4,1331.648000,1331.648000,1331.648000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1807500.163000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,9366.224000,4683.112000,4683.112000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1807500.163000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,118467.552000,59233.776000,59233.776000,0.000000,280.262000,0.000000,0.000000,11780.244000,0.000000,1807500.163000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_4,2663.296000,1331.648000,1331.648000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1807500.163000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_4,9366.224000,4683.112000,4683.112000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1807500.163000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_4,83313.200000,41656.600000,41656.600000,0.000000,1246.651000,0.000000,0.000000,15648.037000,0.000000,1807500.163000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_4,1331.648000,1331.648000,1331.648000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1807500.163000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,9366.224000,4683.112000,4683.112000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1807500.163000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,118467.552000,59233.776000,59233.776000,0.000000,280.262000,0.000000,0.000000,11780.244000,0.000000,1807500.163000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_4,2663.296000,1331.648000,1331.648000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1807500.163000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_4,9366.224000,4683.112000,4683.112000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1807500.163000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_4,83313.200000,41656.600000,41656.600000,0.000000,1246.651000,0.000000,0.000000,15648.038000,0.000000,1807500.163000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_4,1331.648000,1331.648000,1331.648000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1807500.163000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,9366.224000,4683.112000,4683.112000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1807500.163000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,118467.552000,59233.776000,59233.776000,0.000000,280.261000,0.000000,0.000000,11780.242000,0.000000,1807500.163000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_4,2663.296000,1331.648000,1331.648000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1807500.163000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_4,9366.224000,4683.112000,4683.112000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1807500.163000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_4,83313.200000,41656.600000,41656.600000,0.000000,1246.651000,0.000000,0.000000,15648.036000,0.000000,1807500.163000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_4,1331.648000,1331.648000,1331.648000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1807500.163000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
